code,level1,level2,type,category,name
6522983604,6500000000,6522900000,НП,Щ,ФЕДОРІВКА
6522984800,6500000000,6522900000,,,ПЕРШОТРАВНЕВА/С.ПЕРШОТРАВНЕВЕ
6522984801,6500000000,6522900000,НП,С,ПЕРШОТРАВНЕВЕ
6522986500,6500000000,6522900000,,,УКРАЇНСЬКА/С.УКРАЇНСЬКЕ
6522986501,6500000000,6522900000,НП,С,УКРАЇНСЬКЕ
6522986502,6500000000,6522900000,НП,С,ЗЕЛЕНИЙ ГАЙ
6522987000,6500000000,6522900000,,,АГАЙМАНСЬКА/С.АГАЙМАНИ
6522987001,6500000000,6522900000,НП,С,АГАЙМАНИ
6523200000,6500000000,6523200000,Р,,КАЛАНЧАЦЬКИЙ РАЙОН/СМТ КАЛАНЧАК
6523255000,6500000000,6523200000,,,СЕЛИЩА МІСЬКОГО ТИПУ КАЛАНЧАЦЬКОГО Р-НУ
6523255100,6500000000,6523200000,НП,Т,КАЛАНЧАК
6523255101,6500000000,6523200000,НП,С,БАБЕНКІВКА ДРУГА
6523255102,6500000000,6523200000,НП,С,БАБЕНКІВКА ПЕРША
6523255103,6500000000,6523200000,НП,С,ВЕРБОВЕ
6523255104,6500000000,6523200000,НП,С,ГАВРИЛІВКА ДРУГА
6523255105,6500000000,6523200000,НП,С,МАКСИМА ГОРЬКОГО
6523255106,6500000000,6523200000,НП,С,НОВОКИЇВКА
6523255107,6500000000,6523200000,НП,С,НОВОПАВЛІВКА
6523255108,6500000000,6523200000,НП,С,ОЛЕКСАНДРІВКА
6523255109,6500000000,6523200000,НП,С,ПРИВІЛЛЯ
6523255110,6500000000,6523200000,НП,Щ,РОЗДОЛЬНЕ
6523255111,6500000000,6523200000,НП,С,НОВООЛЕКСАНДРІВКА
6523255400,6500000000,6523200000,НП,Т,МИРНЕ
6523280000,6500000000,6523200000,,,СІЛЬРАДИ КАЛАНЧАЦЬКОГО Р-НУ
6523281300,6500000000,6523200000,,,ОЛЕКСІЇВСЬКА/С.ОЛЕКСІЇВКА
6523281301,6500000000,6523200000,НП,С,ОЛЕКСІЇВКА
6523281303,6500000000,6523200000,НП,С,ПРИМОРСЬКЕ
6523286600,6500000000,6523200000,,,ХОРЛІВСЬКА/С.ХОРЛИ
6523286601,6500000000,6523200000,НП,С,ХОРЛИ
6523287700,6500000000,6523200000,,,ЧЕРВОНОЧАБАНСЬКА/С.ПРЕОБРАЖЕНКА
6523287701,6500000000,6523200000,НП,С,ПРЕОБРАЖЕНКА
6523287702,6500000000,6523200000,НП,С,КАЇРКА
6523287703,6500000000,6523200000,НП,С,МАКАРІВКА
6523287704,6500000000,6523200000,НП,С,ПАМ'ЯТНИК
6523287705,6500000000,6523200000,НП,С,ПОЛЬОВЕ
6523287706,6500000000,6523200000,НП,С,СТАВКИ
6523500000,6500000000,6523500000,Р,,КАХОВСЬКИЙ РАЙОН/М.КАХОВКА
6523555000,6500000000,6523500000,,,СЕЛИЩА МІСЬКОГО ТИПУ КАХОВСЬКОГО Р-НУ
6523555100,6500000000,6523500000,НП,Т,ЛЮБИМІВКА
6523555102,6500000000,6523500000,НП,Щ,ЗАВІТНЕ
6523580000,6500000000,6523500000,,,СІЛЬРАДИ КАХОВСЬКОГО Р-НУ
6523580500,6500000000,6523500000,,,ВАСИЛІВСЬКА/С.ВАСИЛІВКА
6523580501,6500000000,6523500000,НП,С,ВАСИЛІВКА
6523580502,6500000000,6523500000,НП,С,КОМИШАНКА
6523580503,6500000000,6523500000,НП,С,ЛУК'ЯНІВКА
6523580504,6500000000,6523500000,НП,С,СОФІЇВКА
6523580700,6500000000,6523500000,,,ВОЛИНСЬКА/С-ЩЕ ВОЛИНСЬКЕ
6523580701,6500000000,6523500000,НП,Щ,ВОЛИНСЬКЕ
6523580702,6500000000,6523500000,НП,Щ,ОСТАПЕНКА
6523582000,6500000000,6523500000,,,КАМ'ЯНСЬКА/С.КАМ'ЯНКА
6523582001,6500000000,6523500000,НП,С,КАМ'ЯНКА
6523582003,6500000000,6523500000,НП,С,СЕРГІЇВКА
6523582004,6500000000,6523500000,НП,С,ЦУКУРИ
6523582005,6500000000,6523500000,НП,С,ЧЕРВОНЕ ПОДІЛЛЯ
6523582500,6500000000,6523500000,,,КОРОБКІВСЬКА/С.КОРОБКИ
6523582501,6500000000,6523500000,НП,С,КОРОБКИ
6523582700,6500000000,6523500000,,,КОСТОГРИЗІВСЬКА/С.КОСТОГРИЗОВЕ
6523582701,6500000000,6523500000,НП,С,КОСТОГРИЗОВЕ
6523582703,6500000000,6523500000,НП,С,БОГДАНІВКА
6523582705,6500000000,6523500000,НП,С,НАТАЛІВКА
6523583500,6500000000,6523500000,,,МАЛОКАХОВСЬКА/С.МАЛОКАХОВКА
6523583501,6500000000,6523500000,НП,С,МАЛОКАХОВКА
6523583600,6500000000,6523500000,,,НОВОКАМ'ЯНСЬКА/С.НОВОКАМ'ЯНКА
6523583601,6500000000,6523500000,НП,С,НОВОКАМ'ЯНКА
6523583800,6500000000,6523500000,,,РОЗДОЛЬНЕНСЬКА/С.РОЗДОЛЬНЕ
6523583801,6500000000,6523500000,НП,С,РОЗДОЛЬНЕ
6523583802,6500000000,6523500000,НП,С,ВІЛЬНА УКРАЇНА
6523583803,6500000000,6523500000,НП,С,ЧОРНОМОРІВКА
6523584000,6500000000,6523500000,,,ФЕДОРІВСЬКА/С-ЩЕ ФЕДОРІВКА
6523584001,6500000000,6523500000,НП,Щ,ФЕДОРІВКА
6523584002,6500000000,6523500000,НП,Щ,СЛИНЕНКА
6523584003,6500000000,6523500000,НП,Щ,СОКИРКИ
6523584500,6500000000,6523500000,,,СЕМЕНІВСЬКА/С.СЕМЕНІВКА
6523584501,6500000000,6523500000,НП,С,СЕМЕНІВКА
6523585000,6500000000,6523500000,,,ТАВРИЧАНСЬКА/С.ТАВРИЧАНКА
6523585001,6500000000,6523500000,НП,С,ТАВРИЧАНКА
6523585002,6500000000,6523500000,НП,С,МАР'ЯНІВКА
6523585003,6500000000,6523500000,НП,С,СКВОРЦІВКА
6523585004,6500000000,6523500000,НП,С,СОЛІДАРНЕ
6523585005,6500000000,6523500000,НП,С,ДУДЧИНЕ
6523585006,6500000000,6523500000,НП,С,ЗАОЗЕРНЕ
6523585007,6500000000,6523500000,НП,С,ЛЮБИМО-МАР'ЇВКА
6523585008,6500000000,6523500000,НП,С,ЛЮБИМО-ПАВЛІВКА
6523585009,6500000000,6523500000,НП,С,ОЛЬГІВКА
6523585500,6500000000,6523500000,,,ЗЕЛЕНОПІДСЬКА/С-ЩЕ ЗЕЛЕНИЙ ПІД
6523585501,6500000000,6523500000,НП,Щ,ЗЕЛЕНИЙ ПІД
6523585502,6500000000,6523500000,НП,Щ,ЗЕЛЕНА РУБАНІВКА
6523585503,6500000000,6523500000,НП,С,КАЛИНІВКА
6523585504,6500000000,6523500000,НП,С,ПЕТРОПАВЛІВКА
6523585505,6500000000,6523500000,НП,С,ПОДІВКА
6523585506,6500000000,6523500000,НП,С,ПРОСТОРНЕ
6523585507,6500000000,6523500000,НП,С,АРХАНГЕЛЬСЬКА СЛОБОДА
6523585508,6500000000,6523500000,НП,С,ДІБРОВА
6523585509,6500000000,6523500000,НП,С,ДМИТРІВКА
6523586000,6500000000,6523500000,,,ЧОРНЯНСЬКА/С.ЧОРНЯНКА
6523586001,6500000000,6523500000,НП,С,ЧОРНЯНКА
6523800000,6500000000,6523800000,Р,,НИЖНЬОСІРОГОЗЬКИЙ РАЙОН/СМТ НИЖНІ СІРОГОЗИ
6523855000,6500000000,6523800000,,,СЕЛИЩА МІСЬКОГО ТИПУ НИЖНЬОСІРОГОЗЬКОГО Р-НУ
6523855100,6500000000,6523800000,НП,Т,НИЖНІ СІРОГОЗИ
6523880000,6500000000,6523800000,,,СІЛЬРАДИ НИЖНЬОСІРОГОЗЬКОГО Р-НУ
6523880200,6500000000,6523800000,,,АНАТОЛІВСЬКА/С.АНАТОЛІВКА
6523880201,6500000000,6523800000,НП,С,АНАТОЛІВКА
6523880202,6500000000,6523800000,НП,С,ДОГМАРІВКА
6523880400,6500000000,6523800000,,,БРАТСЬКА/С.БРАТСЬКЕ
6523880401,6500000000,6523800000,НП,С,БРАТСЬКЕ
6523880402,6500000000,6523800000,НП,С,ЗАПОВІТНЕ
6523880500,6500000000,6523800000,,,ВЕРБІВСЬКА/С.ВЕРБИ
6523880501,6500000000,6523800000,НП,С,ВЕРБИ
6523880502,6500000000,6523800000,НП,С,ЗЕРНОВЕ
6523880503,6500000000,6523800000,НП,С,ДОНЦОВЕ
6523880504,6500000000,6523800000,НП,С,ПАРТИЗАНИ
6523880505,6500000000,6523800000,НП,С,ЧЕХОВКА
6523881000,6500000000,6523800000,,,ВЕРХНЬОСІРОГОЗЬКА/С.ВЕРХНІ СІРОГОЗИ
6523881001,6500000000,6523800000,НП,С,ВЕРХНІ СІРОГОЗИ
6523881500,6500000000,6523800000,,,ВЕРХНЬОТОРГАЇВСЬКА/С.ВЕРХНІ ТОРГАЇ
6523881501,6500000000,6523800000,НП,С,ВЕРХНІ ТОРГАЇ
6523882000,6500000000,6523800000,,,ВІЛЬНЕНСЬКА/С-ЩЕ ВІЛЬНЕ
6523882001,6500000000,6523800000,НП,С,ВІЛЬНЕ
6523882002,6500000000,6523800000,НП,С,ЗМАГАННЯ
6523882003,6500000000,6523800000,НП,С,НОВОРОГАЧИНСЬКЕ
6523882500,6500000000,6523800000,,,ДЕМ'ЯНІВСЬКА/С.ДЕМ'ЯНІВКА
6523882501,6500000000,6523800000,НП,С,ДЕМ'ЯНІВКА
6523883000,6500000000,6523800000,,,НИЖНЬОТОРГАЇВСЬКА/С.НИЖНІ ТОРГАЇ
6523883001,6500000000,6523800000,НП,С,НИЖНІ ТОРГАЇ
6523883300,6500000000,6523800000,,,НОВООЛЕКСАНДРІВСЬКА/С.НОВООЛЕКСАНДРІВКА
6523883301,6500000000,6523800000,НП,С,НОВООЛЕКСАНДРІВКА
6523883500,6500000000,6523800000,,,НОВОПЕТРІВСЬКА/С.НОВОПЕТРІВКА
6523883501,6500000000,6523800000,НП,С,НОВОПЕТРІВКА
6523883502,6500000000,6523800000,НП,С,КОСАКІВКА
